# Task: bending2,,,,,,
# Frequency (Hz): 20,,,,,,
# Clock (millisecond): 250,,,,,,
# Duration (seconds): 120,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,32.5,0.5,0,0,19,1
250,32.5,0.5,0,0,18.5,0.5
500,32.75,0.43,1,0,18,0
750,32.5,0.5,0,0,17.5,0.5
1000,32.5,0.5,7.5,0.5,17.5,0.87
1250,32.67,0.47,11,1,16.75,0.83
1500,32.5,0.5,6.25,0.83,18,0
1750,32.5,0.5,3.5,0.87,18,0
2000,32.33,0.47,6,0,18.33,0.47
2250,32.67,0.47,8,0.82,18,0
2500,32.5,0.5,8.33,3.3,16.67,0.47
2750,32.5,0.5,10.33,1.25,16,1.22
3000,32.25,0.83,9,3.08,16,0.71
3250,32,0,2.67,0.47,15.75,0.83
3500,31.75,0.43,2.75,1.09,16.5,1.12
3750,32,0,1,0,17.5,0.87
4000,32.25,0.83,0,0,17.5,0.5
4250,32.25,0.43,0,0,17,1
4500,31.75,0.43,5.33,3.3,17.75,0.43
4750,31.5,0.5,9.5,0.5,17.75,0.43
5000,31.5,0.5,5,2.16,17.33,0.47
5250,31.5,0.5,4.5,0.5,17.5,0.5
5500,31.67,0.47,4.5,1.12,18,0
5750,31.5,0.5,1.67,0.47,18,0
6000,31.67,0.47,1,0,18.33,0.47
6250,31.33,0.47,2.5,0.5,18,0
6500,31.5,0.5,2.67,0.47,18,0
6750,31.25,0.83,3,0,18.25,0.43
7000,31.25,0.43,2.5,0.5,18.5,0.5
7250,31.5,0.5,4,0,18.5,0.5
7500,31.5,0.5,5,1.22,18.5,0.5
7750,31.5,0.5,5,0,18,0
8000,31.67,0.47,8.75,0.43,17.67,0.47
8250,31.25,0.83,8.5,0.5,18.25,0.43
8500,31.25,0.83,11,0.71,18,0
8750,31.33,0.47,4.5,2.29,18,0
9000,31.5,0.5,2,0,18,0
9250,31.5,0.5,5.33,1.7,17.5,0.5
9500,30.75,0.43,11,1.22,18,0
9750,30.75,0.43,11,1.22,18.25,0.43
10000,30.67,0.47,5.33,1.25,18.5,0.5
10250,31.5,0.5,6,0,18.67,0.47
10500,30.75,0.43,5.67,0.47,18.5,0.5
10750,30.5,0.5,3,0,19,0.82
11000,30.67,0.47,6.5,1.5,18,0
11250,30.75,0.83,9.25,1.09,18,0
11500,30.67,0.47,11,0.82,18,0
11750,30.75,0.43,11,0,18.5,0.5
12000,30.5,0.5,11.25,0.43,18.5,0.5
12250,30.67,0.47,11.25,0.43,19,0.82
12500,30.5,0.5,11,0.71,19.75,0.83
